브랜드,차량명,연식,주행거리,연료,가격(만원),등록일자
현대,아반떼,2023,77097,Diesel,843,2024-05-22
현대,팰리세이드,2023,238879,가솔린,1405,2025-08-27
KG모빌리티,티볼리,2012,,Diesel,100,2025-06-01
현대,싼타페,2015,192700,전기,100,2024-08-13
KG모빌리티,토레스,2024,232881,경유,100,2025-12-15
KG모빌리티,토레스,2016,45758,하이브리드,153,2024-04-14
현대,투싼,2013,99104,하이브리드,100,2025-09-10
르노,SM6,2023,125435,휘발유,968,2025-01-22
현대,싼타페,2016,222423,하이브리드,100,2025-08-14
기아,쏘렌토,2013,17012,경유,484,2026-03-02
르노,SM6,2015,232143,EV,100,2024.10.11
KG모빌리티,토레스,2014,102040,경유,100,2025-11-17
르노,QM6,2022,174878,경유,100,2025-06-30
기아,K5,2019,104471,경유,135,2025-12-02
르노,SM6,2015,220430,하이브리드,100,2025-02-14
르노,SM6,2015,244373,하이브리드,100,2024-08-05
KG모빌리티,렉스턴,2022,125285,하이브리드,723,2024-05-22
기아,쏘렌토,2020,146289,전기,429,2025.08.20
KG모빌리티,토레스,2015,41262,전기,219,2024-04-03
현대,아반떼,2014,169481,전기,100,2025-09-02
현대,투싼,2018,161208,하이브리드,100,2025.07.20
현대,팰리세이드,2023,35029,하이브리드,2768,2026-02-26
르노,SM6,2016,118971,전기,100,2024-01-04
르노,QM6,2024,51832,가솔린,1575,2025-10-02
르노,QM6,2020,164637,경유,100,2025-01-17
기아,스포티지,2024,246810,휘발유,634,2025-09-05
르노,XM3,2012,34325,하이브리드,178,2024-11-10
기아,K3,2015,235164,휘발유,100,2024-03-28
KG모빌리티,티볼리,2024,144645,경유,1493,2024-05-11
KG모빌리티,코란도,2016,143326,전기,100,2024-08-04
기아,쏘렌토,2016,109593,하이브리드,387,2025-03-24
KG모빌리티,티볼리,2015,63903,하이브리드,100,2024-01-22
기아,스포티지,2015,6885,휘발유,241,2024-08-22
현대,아반떼,2017,23574,경유,473,2024-10-12
KG모빌리티,코란도,2020,39684,전기,926,2024-09-05
KG모빌리티,렉스턴,2015,29726,전기,252,2024-12-28
KG모빌리티,렉스턴,2019,231449,휘발유,441,2025-11-20
현대,아반떼,2018,195896,휘발유,100,2024-09-11
기아,K5,2020,122601,전기,100,2024-07-06
르노,XM3,2015,234241,휘발유,100,2025-03-29
현대,아반떼,2022,146711,휘발유,943,2024-04-05
기아,K5,2018,132307,경유,100,2025-02-14
현대,쏘나타,2018,5565,하이브리드,599,2025-04-10
르노,XM3,2023,196497,EV,924,2024-06-07
기아,K7,2015,20331,휘발유,348,2026-02-04
르노,SM6,2012,158138,경유,100,2024-02-28
현대,쏘나타,,160984,경유,100,2025-02-17
현대,싼타페,2015,156760,휘발유,120000,2025-09-26
현대,투싼,2022,158006,하이브리드,597,2024-09-24
기아,쏘렌토,2023,87361,하이브리드,1391,2025-02-09
기아,쏘렌토,2022,83642,하이브리드,1603,2026-02-08
현대,아반떼,2019,167833,휘발유,100,2024-03-16
기아,스포티지,2016,39722,하이브리드,473,2024-03-11
기아,K7,2016,46352,하이브리드,240,2025-09-18
현대,팰리세이드,2020,83480,휘발유,1776,2024-05-17
르노,SM6,2013,,경유,100,2024-10-05
르노,QM6,2015,193117,경유,100,2025-12-04
르노,QM6,2019,70829,휘발유,721,2024-04-04
KG모빌리티,토레스,2012,5929,경유,195,2025-10-14
르노,SM6,2023,120824,전기,1010,2025-07-28
현대,아반떼,2013,236501,경유,100,2025-07-12
현대,그랜저,2021,149841,전기,407,2024-05-10
현대,그랜저,2017,240662,휘발유,145,2025-01-01
기아,쏘렌토,2015,179832,하이브리드,100,2026-03-09
KG모빌리티,코란도,2015,231651,경유,100,2025-02-26
현대,쏘나타,2023,247348,EV,102,2025-11-16
기아,K7,2014,211405,가솔린,100,2025-01-26
현대,투싼,2015,57316,전기,244,2024-12-24
르노,SM6,2015,11203,경유,421,2025.02.12
르노,XM3,2013,207722,하이브리드,100,2025.10.18
KG모빌리티,토레스,2012,35236,하이브리드,163,2024-07-01
르노,SM6,2013,161387,하이브리드,100,2026-01-16
르노,XM3,2021,139066,전기,100,2025-08-13
기아,K7,2012,190803,휘발유,100,2025-06-16
기아,K7,2018,23343,하이브리드,821,2025-09-30
르노,QM6,2013,193679,하이브리드,100,2025-06-03
