브랜드,차량명,연식,주행거리,연료,가격(만원),등록일자
현대,아반떼,2023.0,77097.0,Diesel,843,2024-05-22
현대,팰리세이드,2023.0,238879.0,가솔린,1405,2025-08-27
KG모빌리티,티볼리,2012.0,,Diesel,100,2025-06-01
현대,싼타페,2015.0,192700.0,전기,100,2024-08-13
KG모빌리티,토레스,2024.0,232881.0,경유,100,2025-12-15
KG모빌리티,토레스,2016.0,45758.0,하이브리드,153,2024-04-14
현대,투싼,2013.0,99104.0,하이브리드,100,2025-09-10
르노,SM6,2023.0,125435.0,휘발유,968,2025-01-22
현대,싼타페,2016.0,222423.0,하이브리드,100,2025-08-14
기아,쏘렌토,2013.0,17012.0,경유,484,2026-03-02
르노,SM6,2015.0,232143.0,EV,100,2024.10.11
KG모빌리티,토레스,2014.0,102040.0,경유,100,2025-11-17
르노,QM6,2022.0,174878.0,경유,100,2025-06-30
기아,K5,2019.0,104471.0,경유,135,2025-12-02
르노,SM6,2015.0,220430.0,하이브리드,100,25/02/14
르노,SM6,2015.0,244373.0,하이브리드,100,2024-08-05
KG모빌리티,렉스턴,2022.0,125285.0,하이브리드,723,2024-05-22
기아,쏘렌토,2020.0,146289.0,전기,429,2025.08.20
KG모빌리티,토레스,2015.0,41262.0,전기,219,2024-04-03
현대,아반떼,2014.0,169481.0,전기,100,2025-09-02
현대,투싼,2018.0,161208.0,하이브리드,100,2025.07.20
현대,팰리세이드,2023.0,35029.0,하이브리드,2768,2026-02-26
르노,SM6,2016.0,118971.0,전기,100,2024-01-04
르노,QM6,2024.0,51832.0,가솔린,1575,2025-10-02
르노,QM6,2020.0,164637.0,경유,100,2025-01-17
기아,스포티지,2024.0,246810.0,휘발유,634,2025-09-05
르노,XM3,2012.0,34325.0,하이브리드,178,2024-11-10
기아,K3,2015.0,235164.0,휘발유,100,2024-03-28
KG모빌리티,티볼리,2024.0,144645.0,경유,1493,2024-05-11
KG모빌리티,코란도,2016.0,143326.0,전기,100,2024-08-04
기아,쏘렌토,2016.0,109593.0,하이브리드,387,2025-03-24
KG모빌리티,티볼리,2015.0,63903.0,하이브리드,100,2024-01-22
기아,스포티지,2015.0,6885.0,휘발유,241,2024-08-22
현대,아반떼,2017.0,23574.0,경유,473,24/10/12
KG모빌리티,코란도,2020.0,39684.0,전기,926,2024-09-05
KG모빌리티,렉스턴,2015.0,29726.0,전기,252,2024-12-28
KG모빌리티,렉스턴,2019.0,231449.0,휘발유,441,2025-11-20
현대,아반떼,2018.0,195896.0,휘발유,100,2024-09-11
기아,K5,2020.0,122601.0,전기,100,2024-07-06
르노,XM3,2015.0,234241.0,휘발유,100,2025-03-29
현대,아반떼,2022.0,146711.0,휘발유,943,2024-04-05
기아,K5,2018.0,132307.0,경유,100,2025-02-14
현대,쏘나타,2018.0,5565.0,하이브리드,599,2025-04-10
르노,XM3,2023.0,196497.0,EV,924,24/06/07
기아,K7,2015.0,20331.0,휘발유,348,2026-02-04
르노,SM6,2012.0,158138.0,경유,100,2024-02-28
현대,쏘나타,,160984.0,경유,100,2025-02-17
현대,싼타페,2015.0,156760.0,휘발유,120000,2025-09-26
현대,투싼,2022.0,158006.0,하이브리드,597,2024-09-24
기아,쏘렌토,2023.0,87361.0,하이브리드,1391,2025-02-09
기아,쏘렌토,2022.0,83642.0,하이브리드,1603,26/02/08
현대,아반떼,2019.0,167833.0,휘발유,100,2024-03-16
기아,스포티지,2016.0,39722.0,하이브리드,473,24/03/11
기아,K7,2016.0,46352.0,하이브리드,240,2025-09-18
현대,팰리세이드,2020.0,83480.0,휘발유,1776,2024-05-17
르노,SM6,2013.0,,경유,100,2024-10-05
르노,QM6,2015.0,193117.0,경유,100,25/12/04
르노,QM6,2019.0,70829.0,휘발유,721,2024-04-04
KG모빌리티,토레스,2012.0,5929.0,경유,195,2025-10-14
르노,SM6,2023.0,120824.0,전기,1010,2025-07-28
현대,아반떼,2013.0,236501.0,경유,100,2025-07-12
현대,그랜저,2021.0,149841.0,전기,407,2024-05-10
현대,그랜저,2017.0,240662.0,휘발유,145,2025-01-01
기아,쏘렌토,2015.0,179832.0,하이브리드,100,2026-03-09
KG모빌리티,코란도,2015.0,231651.0,경유,100,2025-02-26
현대,쏘나타,2023.0,247348.0,EV,102,2025-11-16
기아,K7,2014.0,211405.0,가솔린,100,2025-01-26
현대,투싼,2015.0,57316.0,전기,244,2024-12-24
르노,SM6,2015.0,11203.0,경유,421,2025.02.12
르노,XM3,2013.0,207722.0,하이브리드,100,2025.10.18
KG모빌리티,토레스,2012.0,35236.0,하이브리드,163,2024-07-01
르노,SM6,2013.0,161387.0,하이브리드,100,2026-01-16
르노,XM3,2021.0,139066.0,전기,100,2025-08-13
기아,K7,2012.0,190803.0,휘발유,100,2025-06-16
기아,K7,2018.0,23343.0,하이브리드,821,25/09/30
르노,QM6,2013.0,193679.0,하이브리드,100,2025-06-03
르노,QM6,2018.0,90506.0,하이브리드,181,2025-07-21
기아,K5,2018.0,179307.0,전기,100,2025-11-24
기아,스포티지,2021.0,83892.0,휘발유,615,2024-11-07
르노,SM6,2018.0,210981.0,하이브리드,100,2025-04-21
KG모빌리티,렉스턴,2022.0,61020.0,전기,1831,2026-01-23
기아,쏘렌토,2013.0,79392.0,하이브리드,100,24/04/05
기아,쏘렌토,2016.0,63888.0,Diesel,725,2024-05-30
현대,아반떼,2015.0,129554.0,휘발유,100,2025-04-11
KG모빌리티,코란도,2023.0,187545.0,전기,466,2025-02-13
기아,K5,2022.0,185256.0,휘발유,100,2026-03-08
KG모빌리티,코란도,2014.0,215792.0,전기,100,2024-02-21
기아,카니발,2013.0,124658.0,전기,100,25/11/14
르노,XM3,2021.0,218649.0,전기,226,2025-07-15
KG모빌리티,코란도,2023.0,230835.0,전기,364,2024-09-22
기아,카니발,2022.0,77695.0,전기,1213,2025-10-03
기아,K7,2019.0,25311.0,하이브리드,823,2024-08-28
르노,XM3,2017.0,239101.0,휘발유,100,2024-05-21
기아,K5,2018.0,186914.0,경유,100,2024-03-06
KG모빌리티,렉스턴,2017.0,147242.0,전기,169,2024-03-04
기아,카니발,2018.0,107099.0,휘발유,378,2026-02-22
KG모빌리티,렉스턴,2012.0,97211.0,전기,100,2025-03-05
기아,K9,2015.0,76548.0,전기,251,2024-01-30
KG모빌리티,토레스,2022.0,183032.0,전기,721,2026-01-11
기아,카니발,2019.0,,휘발유,100,2025-02-07
현대,아반떼,2022.0,117358.0,전기,341,2024-07-05
현대,그랜저,2018.0,90813.0,전기,327,24/11/30
르노,XM3,2016.0,202134.0,전기,100,2024-09-15
현대,투싼,2012.0,201352.0,가솔린,100,2024-12-24
기아,쏘렌토,2013.0,209795.0,휘발유,100,2026-02-11
현대,쏘나타,2015.0,224998.0,Diesel,100,2024-09-01
기아,K9,2022.0,34986.0,경유,2075,2025-04-21
르노,XM3,2014.0,163831.0,휘발유,100,2026-03-07
기아,K7,2013.0,,하이브리드,100,2025-08-12
KG모빌리티,렉스턴,,56990.0,경유,1134,2024-04-14
르노,QM6,2021.0,216164.0,가솔린,-500,2024-12-21
KG모빌리티,토레스,2013.0,137634.0,하이브리드,100,2024-01-13
KG모빌리티,렉스턴,2013.0,118645.0,하이브리드,124,2025-10-12
KG모빌리티,코란도,2018.0,51173.0,하이브리드,562,2025.09.22
KG모빌리티,렉스턴,2018.0,221461.0,하이브리드,254,2024-11-26
기아,카니발,2013.0,78119.0,전기,100,2024-09-06
KG모빌리티,렉스턴,2017.0,,하이브리드,869,2024-07-05
KG모빌리티,코란도,2017.0,214146.0,하이브리드,100,2024-10-13
르노,QM6,2012.0,140430.0,경유,100,2024-03-28
기아,쏘렌토,2018.0,133077.0,경유,499,2025-12-08
KG모빌리티,렉스턴,2019.0,212862.0,가솔린,100,2024-10-28
기아,K9,2023.0,68780.0,하이브리드,1654,2025-04-29
르노,XM3,2023.0,149281.0,하이브리드,591,2025-12-20
KG모빌리티,토레스,,70903.0,휘발유,100,2026-01-08
기아,K7,2013.0,199741.0,경유,100,2024-07-15
기아,쏘렌토,2019.0,77482.0,하이브리드,1205,2024-04-12
기아,K7,2015.0,99602.0,하이브리드,100,2024-01-15
기아,K7,2012.0,19293.0,하이브리드,174,2025-12-15
기아,쏘렌토,2024.0,133680.0,휘발유,1080,2025-08-10
르노,XM3,2019.0,120466.0,경유,102,2024-02-22
르노,XM3,2013.0,220512.0,전기,100,2025-05-18
현대,싼타페,2022.0,184949.0,경유,100,2024-06-01
르노,SM6,2015.0,36051.0,전기,262,2025-09-12
기아,카니발,2020.0,104713.0,전기,390,2024-10-31
KG모빌리티,토레스,2021.0,167798.0,휘발유,100,2026-02-20
기아,쏘렌토,2015.0,74375.0,Gasoline,415,2024-06-09
기아,K5,2020.0,24677.0,휘발유,563,2025-02-22
KG모빌리티,렉스턴,2016.0,13556.0,하이브리드,513,2025-12-24
르노,QM6,2019.0,23659.0,경유,814,2024-09-27
기아,K9,2013.0,147753.0,경유,100,2024-09-29
기아,K3,2012.0,48495.0,하이브리드,100,2025-09-01
르노,XM3,2013.0,127866.0,하이브리드,100,25/12/17
KG모빌리티,토레스,2020.0,146552.0,전기,214,2024-03-23
현대,투싼,,89494.0,하이브리드,1233,2024-01-27
현대,쏘나타,2022.0,224141.0,휘발유,582,2026-02-22
르노,QM6,2012.0,205044.0,경유,100,2025-04-26
KG모빌리티,토레스,2014.0,158440.0,전기,100,2024-04-03
KG모빌리티,토레스,2018.0,92374.0,휘발유,126,2024-06-13
르노,XM3,2023.0,134884.0,전기,609,2026-02-17
현대,투싼,2013.0,87448.0,하이브리드,100,2024-04-28
KG모빌리티,티볼리,2022.0,232899.0,전기,198,2025-02-27
현대,쏘나타,2020.0,99838.0,전기,547,2025-10-02
KG모빌리티,티볼리,2015.0,75007.0,경유,100,2024-10-21
KG모빌리티,렉스턴,2013.0,12567.0,디젤,661,2025-12-27
기아,K7,2020.0,8584.0,전기,949,2024.04.05
기아,카니발,2013.0,125965.0,휘발유,100,2025-10-25
기아,K9,2023.0,81509.0,하이브리드,2101,2025-03-01
KG모빌리티,렉스턴,2015.0,124743.0,경유,100,2025-01-27
기아,스포티지,2020.0,200636.0,경유,241,2024-03-12
르노,XM3,2017.0,249907.0,하이브리드,100,2024-01-03
르노,QM6,2016.0,224539.0,전기,100,2024-06-01
KG모빌리티,렉스턴,2017.0,92147.0,전기,526,2025-04-11
르노,SM6,2023.0,67601.0,전기,1302,24/08/27
KG모빌리티,티볼리,2017.0,200219.0,전기,100,25/01/30
기아,K9,2012.0,38094.0,하이브리드,226,2024-04-12
KG모빌리티,티볼리,2020.0,243666.0,휘발유,100,26/01/09
기아,K9,2022.0,45464.0,전기,976,2026-03-11
르노,XM3,2021.0,186588.0,휘발유,100,2024.12.02
KG모빌리티,토레스,,193407.0,전기,764,2025-07-08
현대,싼타페,2013.0,66543.0,하이브리드,100,2024-08-20
현대,투싼,2013.0,204326.0,휘발유,100,2025-03-30
기아,쏘렌토,2016.0,241827.0,휘발유,100,2024-11-28
현대,그랜저,2017.0,103262.0,디젤,355,2024-09-07
KG모빌리티,코란도,2014.0,50893.0,전기,100,2025-09-26
기아,K9,2021.0,42517.0,전기,1097,25/10/15
르노,XM3,2016.0,179808.0,전기,100,2024-10-21
기아,K3,2019.0,95587.0,하이브리드,389,2025-10-16
KG모빌리티,토레스,2019.0,226591.0,경유,100,2025-01-28
KG모빌리티,티볼리,2015.0,104972.0,하이브리드,100,2025-08-11
르노,QM6,2016.0,10751.0,전기,576,2024-10-08
현대,싼타페,2022.0,209029.0,휘발유,534,2025-09-12
KG모빌리티,토레스,2024.0,214416.0,하이브리드,352,2024-08-12
기아,스포티지,2016.0,182671.0,경유,100,2025-10-05
현대,팰리세이드,2022.0,15334.0,전기,1628,2024-02-04
르노,QM6,2014.0,28627.0,하이브리드,335,2024-11-30
KG모빌리티,코란도,2015.0,39644.0,하이브리드,322,2025.06.27
르노,SM6,2016.0,244612.0,전기,100,2024-10-29
르노,SM6,2019.0,24739.0,경유,449,2025-11-23
KG모빌리티,토레스,2013.0,212272.0,휘발유,100,2024-09-27
현대,투싼,2017.0,181377.0,하이브리드,100,25/08/21
KG모빌리티,토레스,2013.0,181904.0,전기,100,2024-01-26
르노,QM6,2015.0,174778.0,전기,100,25/12/18
르노,QM6,,35585.0,가솔린,309,2024-02-08
르노,XM3,2013.0,30478.0,디젤,100,2025-02-01
KG모빌리티,토레스,2022.0,199809.0,전기,528,2025-08-24
기아,K9,,30957.0,EV,2671,2025-09-22
KG모빌리티,토레스,2012.0,185952.0,경유,100,2025-03-30
KG모빌리티,코란도,2017.0,31045.0,하이브리드,517,2025-07-11
르노,SM6,2018.0,77320.0,휘발유,128,2025-04-10
현대,팰리세이드,2015.0,173218.0,휘발유,100,2024-02-21
르노,SM6,,211301.0,Diesel,100,2024-03-11
기아,스포티지,2015.0,218136.0,경유,100,2024-12-02
기아,카니발,2021.0,5743.0,경유,888,2024-05-13
르노,SM6,2013.0,178292.0,휘발유,100,2024-05-14
현대,그랜저,2024.0,211682.0,하이브리드,1090,2024-01-17
기아,K7,2012.0,38228.0,전기,119,2025-06-22
현대,팰리세이드,2013.0,129845.0,하이브리드,100,2025-06-09
현대,투싼,2020.0,63077.0,휘발유,981,2026-01-14
르노,XM3,2022.0,13165.0,전기,782,2025-02-15
KG모빌리티,티볼리,2019.0,191751.0,전기,119,2024-03-16
현대,그랜저,2021.0,43884.0,경유,787,2024-10-08
르노,XM3,2021.0,144082.0,전기,213,2025-06-01
KG모빌리티,티볼리,2024.0,188967.0,경유,308,2025-03-16
KG모빌리티,코란도,2018.0,93848.0,전기,401,2025-02-12
KG모빌리티,티볼리,2017.0,116873.0,하이브리드,100,2025-01-18
기아,쏘렌토,2019.0,22598.0,휘발유,648,2024-04-05
KG모빌리티,티볼리,2023.0,198670.0,경유,396,2025-07-23
현대,싼타페,2020.0,152241.0,휘발유,100,2025-02-24
르노,QM6,2024.0,115870.0,휘발유,1788,2024-10-21
르노,XM3,2013.0,156497.0,경유,100,2024-06-07
KG모빌리티,코란도,,96780.0,하이브리드,100,2024-04-27
르노,QM6,2015.0,216608.0,휘발유,100,2025-09-15
르노,SM6,2014.0,76636.0,하이브리드,100,2024-12-13
르노,SM6,2014.0,233029.0,전기,100,2024-03-12
기아,쏘렌토,2022.0,13036.0,경유,1175,2025-01-20
KG모빌리티,렉스턴,2017.0,46263.0,하이브리드,583,2026-01-08
르노,QM6,2021.0,27270.0,휘발유,1332,2024-06-08
기아,카니발,2021.0,,휘발유,1188,2024-10-05
KG모빌리티,렉스턴,2019.0,,전기,401,2024-10-06
기아,카니발,2020.0,34836.0,전기,658,2024-04-23
르노,QM6,2022.0,160486.0,하이브리드,500,2024-02-16
기아,K9,2021.0,19360.0,경유,804,2024-11-04
기아,카니발,2014.0,205320.0,하이브리드,100,2024-12-01
현대,아반떼,2019.0,200825.0,경유,100,2024-05-12
KG모빌리티,코란도,2020.0,151466.0,하이브리드,452,2024-03-14
KG모빌리티,티볼리,2018.0,9912.0,휘발유,616,2024-11-16
KG모빌리티,렉스턴,2023.0,172809.0,하이브리드,1414,2024-04-27
KG모빌리티,티볼리,2017.0,50055.0,전기,477,2025-12-07
르노,SM6,2018.0,226376.0,경유,100,2025-03-22
KG모빌리티,티볼리,2018.0,233202.0,하이브리드,100,2024.08.14
르노,SM6,2013.0,138820.0,휘발유,100,2025-06-27
기아,카니발,2017.0,97038.0,경유,207,2024-08-29
현대,쏘나타,2016.0,56713.0,경유,100,2026-02-17
현대,쏘나타,2024.0,169613.0,전기,966,2026-02-11
KG모빌리티,토레스,2022.0,87873.0,전기,505,2024.03.10
