,브랜드,차량명,연식,주행거리,연료,가격(만원),등록일자
0,현대,아반떼,2023.0,77097.0,Diesel,843,2024-05-22
1,현대,팰리세이드,2023.0,238879.0,가솔린,1405,2025-08-27
3,현대,싼타페,2015.0,192700.0,전기,100,2024-08-13
4,KG모빌리티,토레스,2024.0,232881.0,경유,100,2025-12-15
5,KG모빌리티,토레스,2016.0,45758.0,하이브리드,153,2024-04-14
6,현대,투싼,2013.0,99104.0,하이브리드,100,2025-09-10
7,르노,SM6,2023.0,125435.0,휘발유,968,2025-01-22
8,현대,싼타페,2016.0,222423.0,하이브리드,100,2025-08-14
9,기아,쏘렌토,2013.0,17012.0,경유,484,2026-03-02
10,르노,SM6,2015.0,232143.0,EV,100,2024-10-11
11,KG모빌리티,토레스,2014.0,102040.0,경유,100,2025-11-17
12,르노,QM6,2022.0,174878.0,경유,100,2025-06-30
13,기아,K5,2019.0,104471.0,경유,135,2025-12-02
14,르노,SM6,2015.0,220430.0,하이브리드,100,2014-02-25
15,르노,SM6,2015.0,244373.0,하이브리드,100,2024-08-05
16,KG모빌리티,렉스턴,2022.0,125285.0,하이브리드,723,2024-05-22
17,기아,쏘렌토,2020.0,146289.0,전기,429,2025-08-20
18,KG모빌리티,토레스,2015.0,41262.0,전기,219,2024-04-03
19,현대,아반떼,2014.0,169481.0,전기,100,2025-09-02
20,현대,투싼,2018.0,161208.0,하이브리드,100,2025-07-20
22,르노,SM6,2016.0,118971.0,전기,100,2024-01-04
24,르노,QM6,2020.0,164637.0,경유,100,2025-01-17
25,기아,스포티지,2024.0,246810.0,휘발유,634,2025-09-05
26,르노,XM3,2012.0,34325.0,하이브리드,178,2024-11-10
27,기아,K3,2015.0,235164.0,휘발유,100,2024-03-28
29,KG모빌리티,코란도,2016.0,143326.0,전기,100,2024-08-04
30,기아,쏘렌토,2016.0,109593.0,하이브리드,387,2025-03-24
31,KG모빌리티,티볼리,2015.0,63903.0,하이브리드,100,2024-01-22
32,기아,스포티지,2015.0,6885.0,휘발유,241,2024-08-22
33,현대,아반떼,2017.0,23574.0,경유,473,2012-10-24
34,KG모빌리티,코란도,2020.0,39684.0,전기,926,2024-09-05
35,KG모빌리티,렉스턴,2015.0,29726.0,전기,252,2024-12-28
36,KG모빌리티,렉스턴,2019.0,231449.0,휘발유,441,2025-11-20
37,현대,아반떼,2018.0,195896.0,휘발유,100,2024-09-11
38,기아,K5,2020.0,122601.0,전기,100,2024-07-06
39,르노,XM3,2015.0,234241.0,휘발유,100,2025-03-29
40,현대,아반떼,2022.0,146711.0,휘발유,943,2024-04-05
41,기아,K5,2018.0,132307.0,경유,100,2025-02-14
42,현대,쏘나타,2018.0,5565.0,하이브리드,599,2025-04-10
43,르노,XM3,2023.0,196497.0,EV,924,2007-06-24
44,기아,K7,2015.0,20331.0,휘발유,348,2026-02-04
45,르노,SM6,2012.0,158138.0,경유,100,2024-02-28
48,현대,투싼,2022.0,158006.0,하이브리드,597,2024-09-24
49,기아,쏘렌토,2023.0,87361.0,하이브리드,1391,2025-02-09
51,현대,아반떼,2019.0,167833.0,휘발유,100,2024-03-16
52,기아,스포티지,2016.0,39722.0,하이브리드,473,2011-03-24
53,기아,K7,2016.0,46352.0,하이브리드,240,2025-09-18
56,르노,QM6,2015.0,193117.0,경유,100,2004-12-25
57,르노,QM6,2019.0,70829.0,휘발유,721,2024-04-04
58,KG모빌리티,토레스,2012.0,5929.0,경유,195,2025-10-14
59,르노,SM6,2023.0,120824.0,전기,1010,2025-07-28
60,현대,아반떼,2013.0,236501.0,경유,100,2025-07-12
61,현대,그랜저,2021.0,149841.0,전기,407,2024-05-10
62,현대,그랜저,2017.0,240662.0,휘발유,145,2025-01-01
