time,temp,pressure,vibration
2026-03-01 00:00:00,452.48,1.052,0.456
2026-03-01 00:01:00,449.31,0.942,0.291
2026-03-01 00:02:00,453.24,1.029,0.167
2026-03-01 00:03:00,457.62,0.969,0.161
2026-03-01 00:04:00,448.83,0.984,0.266
2026-03-01 00:05:00,448.83,1.002,0.142
2026-03-01 00:06:00,457.9,0.994,0.359
2026-03-01 00:07:00,453.84,0.916,0.32
2026-03-01 00:08:00,447.65,1.069,0.305
2026-03-01 00:09:00,452.71,1.057,0.238
2026-03-01 00:10:00,447.68,0.993,0.206
2026-03-01 00:11:00,447.67,1.047,0.207
2026-03-01 00:12:00,451.21,0.98,0.318
2026-03-01 00:13:00,440.43,0.951,0.32
2026-03-01 00:14:00,441.38,1.003,0.265
2026-03-01 00:15:00,447.19,0.942,0.164
2026-03-01 00:16:00,444.94,1.03,0.375
2026-03-01 00:17:00,451.57,0.965,0.25
2026-03-01 00:18:00,445.46,0.92,0.313
2026-03-01 00:19:00,442.94,0.819,0.338
2026-03-01 00:20:00,457.33,0.994,0.312
2026-03-01 00:21:00,448.87,1.016,0.26
2026-03-01 00:22:00,450.34,1.067,0.372
2026-03-01 00:23:00,442.88,0.913,0.364
2026-03-01 00:24:00,447.28,1.05,0.324
2026-03-01 00:25:00,450.55,0.976,0.283
2026-03-01 00:26:00,444.25,0.997,0.374
2026-03-01 00:27:00,451.88,1.0,0.23
2026-03-01 00:28:00,447.0,0.999,0.335
2026-03-01 00:29:00,448.54,0.898,0.342
2026-03-01 00:30:00,446.99,1.036,0.392
2026-03-01 00:31:00,459.26,1.042,0.351
2026-03-01 00:32:00,449.93,1.048,0.268
2026-03-01 00:33:00,444.71,1.024,0.417
2026-03-01 00:34:00,454.11,0.99,0.385
2026-03-01 00:35:00,443.9,0.927,0.178
2026-03-01 00:36:00,451.04,1.022,0.352
2026-03-01 00:37:00,440.2,1.002,0.332
2026-03-01 00:38:00,443.36,1.0,0.411
2026-03-01 00:39:00,450.98,1.022,0.407
2026-03-01 00:40:00,453.69,0.998,0.31
2026-03-01 00:41:00,450.86,0.978,0.228
2026-03-01 00:42:00,449.42,0.941,0.269
2026-03-01 00:43:00,448.49,1.0,0.344
2026-03-01 00:44:00,442.61,1.074,0.317
2026-03-01 00:45:00,446.4,0.945,0.354
2026-03-01 00:46:00,447.7,1.05,0.4
2026-03-01 00:47:00,455.29,1.036,0.325
2026-03-01 00:48:00,451.72,0.914,0.293
2026-03-01 00:49:00,441.18,1.03,0.235
2026-03-01 00:50:00,451.62,1.001,0.034
2026-03-01 00:51:00,448.07,0.996,0.27
2026-03-01 00:52:00,446.62,1.1,0.301
2026-03-01 00:53:00,453.06,1.047,0.209
2026-03-01 00:54:00,455.15,0.954,0.367
2026-03-01 00:55:00,454.66,1.032,0.228
2026-03-01 00:56:00,445.8,0.954,0.297
2026-03-01 00:57:00,448.45,0.956,0.264
2026-03-01 00:58:00,451.66,1.008,0.466
2026-03-01 00:59:00,454.88,1.059,0.453
2026-03-01 01:00:00,447.6,0.926,0.365
2026-03-01 01:01:00,449.07,0.975,0.299
2026-03-01 01:02:00,444.47,1.059,0.346
2026-03-01 01:03:00,444.02,0.953,0.296
2026-03-01 01:04:00,454.06,1.002,0.391
2026-03-01 01:05:00,456.78,0.984,0.373
2026-03-01 01:06:00,449.64,1.064,0.368
2026-03-01 01:07:00,455.02,1.016,0.331
2026-03-01 01:08:00,451.81,0.985,0.349
2026-03-01 01:09:00,446.77,0.958,0.39
2026-03-01 01:10:00,451.81,1.105,0.535
2026-03-01 01:11:00,457.69,0.996,0.402
2026-03-01 01:12:00,449.82,0.989,0.17
2026-03-01 01:13:00,457.82,1.025,0.291
2026-03-01 01:14:00,436.9,1.036,0.243
2026-03-01 01:15:00,454.11,0.93,0.299
2026-03-01 01:16:00,450.44,0.99,0.288
2026-03-01 01:17:00,448.5,0.946,0.285
2026-03-01 01:18:00,450.46,0.972,0.349
2026-03-01 01:19:00,440.06,1.064,0.294
2026-03-01 01:20:00,448.9,1.058,0.382
2026-03-01 01:21:00,451.79,1.029,0.268
2026-03-01 01:22:00,457.39,0.93,0.217
2026-03-01 01:23:00,447.41,1.009,0.294
2026-03-01 01:24:00,445.96,0.971,0.248
2026-03-01 01:25:00,447.49,1.05,0.401
2026-03-01 01:26:00,454.58,0.972,0.376
2026-03-01 01:27:00,451.64,0.959,0.417
2026-03-01 01:28:00,447.35,1.018,0.203
2026-03-01 01:29:00,452.57,1.061,0.142
2026-03-01 01:30:00,450.49,1.053,0.473
2026-03-01 01:31:00,454.84,1.065,0.186
2026-03-01 01:32:00,446.49,1.065,0.38
2026-03-01 01:33:00,448.36,1.082,0.368
2026-03-01 01:34:00,448.04,1.009,0.303
2026-03-01 01:35:00,442.68,0.978,0.277
2026-03-01 01:36:00,451.48,0.959,0.202
2026-03-01 01:37:00,451.31,1.06,0.419
2026-03-01 01:38:00,450.03,0.991,0.374
2026-03-01 01:39:00,448.83,0.955,0.57
2026-03-01 01:40:00,442.92,1.026,0.289
2026-03-01 01:41:00,447.9,0.928,0.295
2026-03-01 01:42:00,448.29,0.946,0.186
2026-03-01 01:43:00,445.99,1.011,0.366
2026-03-01 01:44:00,449.19,1.044,0.081
2026-03-01 01:45:00,452.02,0.983,0.124
2026-03-01 01:46:00,459.43,0.988,0.322
